Scenario,Method,N,Prechange_false_signal_pct,Eligible_no_prechange_N,Detection_probability_pct,Detection_CI_low_pct,Detection_CI_high_pct,Median_detection_delay,Mean_detection_delay
Abrupt +1 SD,Rule 1 only,20000,8.325000000000001,18335,41.84892282519771,41.136652933416556,42.564607548540785,7.0,7.404665710934445
Abrupt +1 SD,Rules 1-3,20000,10.775,17845,74.46343513589241,73.81841968930635,75.09792045603815,8.0,7.882074051776039
Abrupt +1 SD,Rules 1-8,20000,16.939999999999998,16612,88.72501805923429,88.23506726663607,89.19706298018902,5.0,6.134676708053464
Abrupt +2 SD,Rule 1 only,20000,8.145,18371,87.42039083337869,86.93301754407612,87.89211784994875,3.0,4.2995641344956415
Abrupt +2 SD,Rules 1-3,20000,10.639999999999999,17872,99.60273052820054,99.49924382282049,99.68489831025525,3.0,3.8890511769001743
Abrupt +2 SD,Rules 1-8,20000,17.04,16592,99.98191899710704,99.94684860666734,99.99385064112248,2.0,2.117487491711375
Abrupt +3 SD,Rule 1 only,20000,8.315,18337,99.38921306647761,99.2656356208808,99.49210153456951,0.0,1.3715775034293554
Abrupt +3 SD,Rules 1-3,20000,10.639999999999999,17872,100.0,99.97851033290071,99.99999999999999,0.0,1.2423343777976723
Abrupt +3 SD,Rules 1-8,20000,16.99,16602,100.0,99.97686682225519,100.00000000000003,0.0,0.7178653174316347
Gradual drift to +3 SD,Rule 1 only,20000,8.375,18325,89.0968622100955,88.63737451313871,89.5399616387009,13.0,12.081582654498684
Gradual drift to +3 SD,Rules 1-3,20000,10.785,17843,98.66053914700443,98.48108333185124,98.81904700251363,11.0,10.730288570779368
Gradual drift to +3 SD,Rules 1-8,20000,17.185,16563,99.96981223208356,99.92934590580022,99.98710492246961,9.0,8.704614083826549
SD x2,Rule 1 only,20000,8.205,18359,91.13786153929952,90.7181134645881,91.54039774607328,4.0,5.036516853932584
SD x2,Rules 1-3,20000,10.565,17887,92.00536702633197,91.59883566512464,92.3938598969461,3.0,4.9518745822446375
SD x2,Rules 1-8,20000,16.945,16611,96.38793570525556,96.09328844773151,96.66113258117586,3.0,4.3656860908125665
