Scenario,Method,N,Prechange_false_signal_pct,Eligible_no_prechange_N,Detection_probability_pct,Detection_CI_low_pct,Detection_CI_high_pct,Median_detection_delay,Mean_detection_delay
Stable,Rule 1 only,20000,,,7.85,7.485293997625359,8.23089464190426,,
Stable,Rules 1-3,20000,,,16.94,16.426500631133585,17.466196792896046,,
Stable,Rules 1-8,20000,,,30.9,30.26331882757965,31.54401694976355,,
Abrupt +1 SD,Rule 1 only,20000,2.8000000000000003,19440.0,37.04218106995885,36.365954511692436,37.723527699578554,8.0,8.715872795445078
Abrupt +1 SD,Rules 1-3,20000,4.455,19109.0,75.5089224972526,74.89411275898111,76.1134782420983,8.0,8.842192806154273
Abrupt +1 SD,Rules 1-8,20000,7.85,18430.0,93.83071079761258,93.47413640588474,94.16901728018144,6.0,6.64540565546753
Abrupt +2 SD,Rule 1 only,20000,2.7550000000000003,19449.0,96.8533086534012,96.59855738962825,97.08955515979089,3.0,4.695758347932261
Abrupt +2 SD,Rules 1-3,20000,4.425,19115.0,99.9738425320429,99.9387764541385,99.9888265920476,3.0,3.7768184196755628
Abrupt +2 SD,Rules 1-8,20000,7.85,18430.0,100.0,99.97916083400588,100.0,2.0,1.9530656538252849
Abrupt +3 SD,Rule 1 only,20000,2.6100000000000003,19478.0,100.0,99.9802818494914,99.99999999999999,0.0,0.9966115617619878
Abrupt +3 SD,Rules 1-3,20000,4.505,19099.0,100.0,99.97989064177193,100.0,0.0,0.964657835488769
Abrupt +3 SD,Rules 1-8,20000,7.960000000000001,18408.0,100.0,99.97913593363657,99.99999999999999,0.0,0.6198935245545415
Gradual drift to +3 SD,Rule 1 only,20000,2.58,19484.0,96.72038595770888,96.46095125195289,96.96140154412602,13.0,12.849668347041655
Gradual drift to +3 SD,Rules 1-3,20000,4.275,19145.0,99.70227213371638,99.61449151502066,99.7701111562474,12.0,11.184251886001677
Gradual drift to +3 SD,Rules 1-8,20000,7.285,18543.0,100.0,99.97928780040944,99.99999999999997,9.0,8.847004260367793
SD x2,Rule 1 only,20000,2.7,19460.0,94.48098663926002,94.15128584049367,94.79312955986136,4.0,5.245512890242576
SD x2,Rules 1-3,20000,4.42,19116.0,94.95710399665202,94.63776289462831,95.25838000497997,4.0,5.138827677390921
SD x2,Rules 1-8,20000,7.88,18424.0,98.34455058619193,98.14997420811491,98.51897120151214,3.0,4.3076880622550915
