Phase_I_reference,Phase_I_n,Method,N,False_alarm_probability_pct,CI_low_pct,CI_high_pct
Estimated n=18,18.0,Rule 1 only,20000,19.865,19.31785646181598,20.423717551285446
Estimated n=18,18.0,Rules 1-3,20000,30.905,30.268289237527295,31.54904461945534
Estimated n=18,18.0,Rules 1-8,20000,47.715,47.0232772104517,48.407600394324696
Estimated n=30,30.0,Rule 1 only,20000,15.485,14.990265624890641,15.992990624062253
Estimated n=30,30.0,Rules 1-3,20000,26.15,25.54558360043523,26.763576519440967
Estimated n=30,30.0,Rules 1-8,20000,42.285,41.60189254717964,42.971070569166066
Estimated n=50,50.0,Rule 1 only,20000,11.96,11.517572528671174,12.417037574477266
Estimated n=50,50.0,Rules 1-3,20000,21.79,21.22331908770701,22.36751558657841
Estimated n=50,50.0,Rules 1-8,20000,37.74,37.07061690993157,38.41409181416412
Estimated n=100,100.0,Rule 1 only,20000,9.9,9.493751927248965,10.321649364450627
Estimated n=100,100.0,Rules 1-3,20000,19.585,19.04086165592231,20.140819897370534
Estimated n=100,100.0,Rules 1-8,20000,34.4,33.74469095447156,35.061300570478906
True mean and SD,,Rule 1 only,20000,7.85,7.485293997625359,8.23089464190426
True mean and SD,,Rules 1-3,20000,16.94,16.426500631133585,17.466196792896046
True mean and SD,,Rules 1-8,20000,30.9,30.26331882757965,31.54401694976355
